
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
0000     0000     0000     201d07d0     00     00000     00000000     1     000007d0     0     00000000
0001     0004     0004     20100001     00     00000     00000000     1     00000001     0     00000000
0002     0008     0008     00109fc0     00     00000     00000000     1     80000000     0     00000000
0003     30ac     30ac     afa20000     00     00000     00000000     0     00000000     1     00000000
0004     30b0     30b0     23bd0004     00     00000     00000000     1     000007d4     0     00000000
0005     30b4     30b4     afa40000     00     00000     00000000     0     00000000     1     00000000
0006     30b8     30b8     23bd0004     00     00000     00000000     1     000007d8     0     00000000
0007     30bc     30bc     afb00000     00     00000     00000000     0     00000000     1     00000001
0008     30c0     30c0     23bd0004     00     00000     00000000     1     000007dc     0     00000000
0009     30c4     30c4     afb30000     00     00000     00000000     0     00000000     1     80000000
000a     30c8     30c8     23bd0004     00     00000     00000000     1     000007e0     0     00000000
000b     30cc     30cc     afb40000     00     00000     00000000     0     00000000     1     00000000
000c     30d0     30d0     23bd0004     00     00000     00000000     1     000007e4     0     00000000
000d     30d4     30d4     afb50000     00     00000     00000000     0     00000000     1     00000000
000e     30d8     30d8     23bd0004     00     00000     00000000     1     000007e8     0     00000000
000f     30dc     30dc     afb60000     00     00000     00000000     0     00000000     1     00000000
0010     30e0     30e0     23bd0004     00     00000     00000000     1     000007ec     0     00000000
0011     30e4     30e4     20160001     00     00000     00000000     1     00000001     0     00000000
0012     30e8     30e8     20140003     00     00000     00000000     1     00000003     0     00000000
0013     30ec     30ec     20150001     00     00000     00000000     1     00000001     0     00000000
0014     30f0     30f0     00168020     00     00000     00000000     1     00000001     0     00000000
0015     30f4     30f4     00108100     00     00000     00000000     1     00000010     0     00000000
0016     30f8     30f8     02149825     00     00000     00000000     1     00000013     0     00000000
0017     30fc     30fc     00132020     00     00000     00000000     1     00000013     0     00000000
0018     3100     3100     20020022     00     00000     00000000     1     00000022     0     00000000
0019     3104     3104     0000000c     00     00000     00000000     0     00000000     0     00000000
001a     3108     3108     1600fffa     00     00000     00000013     0     00000000     0     00000000
001b     30f4     30f4     00108100     00     00000     00000013     1     00000100     0     00000000
001c     30f8     30f8     02149825     00     00000     00000013     1     00000103     0     00000000
001d     30fc     30fc     00132020     00     00000     00000013     1     00000103     0     00000000
001e     3100     3100     20020022     00     00000     00000013     1     00000022     0     00000000
001f     3104     3104     0000000c     00     00000     00000013     0     00000000     0     00000000
0020     3108     3108     1600fffa     00     00000     00000103     0     00000000     0     00000000
0021     30f4     30f4     00108100     00     00000     00000103     1     00001000     0     00000000
0022     30f8     30f8     02149825     00     00000     00000103     1     00001003     0     00000000
0023     30fc     30fc     00132020     00     00000     00000103     1     00001003     0     00000000
0024     3100     3100     20020022     00     00000     00000103     1     00000022     0     00000000
0025     3104     3104     0000000c     00     00000     00000103     0     00000000     0     00000000
0026     3108     3108     1600fffa     00     00000     00001003     0     00000000     0     00000000
0027     30f4     30f4     00108100     00     00000     00001003     1     00010000     0     00000000
0028     30f8     30f8     02149825     00     00000     00001003     1     00010003     0     00000000
0029     30fc     30fc     00132020     00     00000     00001003     1     00010003     0     00000000
002a     3100     3100     20020022     00     00000     00001003     1     00000022     0     00000000
002b     3104     3104     0000000c     00     00000     00001003     0     00000000     0     00000000
002c     3108     3108     1600fffa     00     00000     00010003     0     00000000     0     00000000
002d     30f4     30f4     00108100     00     00000     00010003     1     00100000     0     00000000
002e     30f8     30f8     02149825     00     00000     00010003     1     00100003     0     00000000
002f     30fc     30fc     00132020     00     00000     00010003     1     00100003     0     00000000
0030     3100     3100     20020022     00     00000     00010003     1     00000022     0     00000000
0031     3104     3104     0000000c     00     00000     00010003     0     00000000     0     00000000
0032     3108     3108     1600fffa     00     00000     00100003     0     00000000     0     00000000
0033     30f4     30f4     00108100     00     00000     00100003     1     01000000     0     00000000
0034     30f8     30f8     02149825     00     00000     00100003     1     01000003     0     00000000
0035     30fc     30fc     00132020     00     00000     00100003     1     01000003     0     00000000
0036     3100     3100     20020022     00     00000     00100003     1     00000022     0     00000000
0037     3104     3104     0000000c     00     00000     00100003     0     00000000     0     00000000
0038     3108     3108     1600fffa     00     00000     01000003     0     00000000     0     00000000
0039     30f4     30f4     00108100     00     00000     01000003     1     10000000     0     00000000
003a     30f8     30f8     02149825     00     00000     01000003     1     10000003     0     00000000
003b     30fc     30fc     00132020     00     00000     01000003     1     10000003     0     00000000
003c     3100     3100     20020022     00     00000     01000003     1     00000022     0     00000000
003d     3104     3104     0000000c     00     00000     01000003     0     00000000     0     00000000
003e     3108     3108     1600fffa     00     00000     10000003     0     00000000     0     00000000
003f     30f4     30f4     00108100     00     00000     10000003     1     00000000     0     00000000
0040     30f8     30f8     02149825     00     00000     10000003     1     00000003     0     00000000
0041     30fc     30fc     00132020     00     00000     10000003     1     00000003     0     00000000
0042     3100     3100     20020022     00     00000     10000003     1     00000022     0     00000000
0043     3104     3104     0000000c     00     00000     10000003     0     00000000     0     00000000
0044     3108     3108     1600fffa     00     00000     00000003     0     00000000     0     00000000
0045     310c     310c     0295a022     00     00000     00000003     1     00000002     0     00000000
0046     3110     3110     1680fff7     00     00000     00000003     0     00000000     0     00000000
0047     30f0     30f0     00168020     00     00000     00000003     1     00000001     0     00000000
0048     30f4     30f4     00108100     00     00000     00000003     1     00000010     0     00000000
0049     30f8     30f8     02149825     00     00000     00000003     1     00000012     0     00000000
004a     30fc     30fc     00132020     00     00000     00000003     1     00000012     0     00000000
004b     3100     3100     20020022     00     00000     00000003     1     00000022     0     00000000
004c     3104     3104     0000000c     00     00000     00000003     0     00000000     0     00000000
004d     3108     3108     1600fffa     00     00000     00000012     0     00000000     0     00000000
004e     30f4     30f4     00108100     00     00000     00000012     1     00000100     0     00000000
004f     30f8     30f8     02149825     00     00000     00000012     1     00000102     0     00000000
0050     30fc     30fc     00132020     00     00000     00000012     1     00000102     0     00000000
0051     3100     3100     20020022     00     00000     00000012     1     00000022     0     00000000
0052     3104     3104     0000000c     00     00000     00000012     0     00000000     0     00000000
0053     3108     3108     1600fffa     00     00000     00000102     0     00000000     0     00000000
0054     30f4     30f4     00108100     00     00000     00000102     1     00001000     0     00000000
0055     30f8     30f8     02149825     00     00000     00000102     1     00001002     0     00000000
0056     30fc     30fc     00132020     00     00000     00000102     1     00001002     0     00000000
0057     3100     3100     20020022     00     00000     00000102     1     00000022     0     00000000
0058     3104     3104     0000000c     00     00000     00000102     0     00000000     0     00000000
0059     3108     3108     1600fffa     00     00000     00001002     0     00000000     0     00000000
005a     30f4     30f4     00108100     00     00000     00001002     1     00010000     0     00000000
005b     30f8     30f8     02149825     00     00000     00001002     1     00010002     0     00000000
005c     30fc     30fc     00132020     00     00000     00001002     1     00010002     0     00000000
005d     3100     3100     20020022     00     00000     00001002     1     00000022     0     00000000
005e     3104     3104     0000000c     00     00000     00001002     0     00000000     0     00000000
005f     3108     3108     1600fffa     00     00000     00010002     0     00000000     0     00000000
0060     30f4     30f4     00108100     00     00000     00010002     1     00100000     0     00000000
0061     30f8     30f8     02149825     00     00000     00010002     1     00100002     0     00000000
0062     30fc     30fc     00132020     00     00000     00010002     1     00100002     0     00000000
0063     3100     3100     20020022     00     00000     00010002     1     00000022     0     00000000
0064     3104     3104     0000000c     00     00000     00010002     0     00000000     0     00000000
0065     3108     3108     1600fffa     00     00000     00100002     0     00000000     0     00000000
0066     30f4     30f4     00108100     00     00000     00100002     1     01000000     0     00000000
0067     30f8     30f8     02149825     00     00000     00100002     1     01000002     0     00000000
0068     30fc     30fc     00132020     00     00000     00100002     1     01000002     0     00000000
0069     3100     3100     20020022     00     00000     00100002     1     00000022     0     00000000
006a     3104     3104     0000000c     00     00000     00100002     0     00000000     0     00000000
006b     3108     3108     1600fffa     00     00000     01000002     0     00000000     0     00000000
006c     30f4     30f4     00108100     00     00000     01000002     1     10000000     0     00000000
006d     30f8     30f8     02149825     00     00000     01000002     1     10000002     0     00000000
006e     30fc     30fc     00132020     00     00000     01000002     1     10000002     0     00000000
006f     3100     3100     20020022     00     00000     01000002     1     00000022     0     00000000
0070     3104     3104     0000000c     00     00000     01000002     0     00000000     0     00000000
0071     3108     3108     1600fffa     00     00000     10000002     0     00000000     0     00000000
0072     30f4     30f4     00108100     00     00000     10000002     1     00000000     0     00000000
0073     30f8     30f8     02149825     00     00000     10000002     1     00000002     0     00000000
0074     30fc     30fc     00132020     00     00000     10000002     1     00000002     0     00000000
0075     3100     3100     20020022     00     00000     10000002     1     00000022     0     00000000
0076     3104     3104     0000000c     00     00000     10000002     0     00000000     0     00000000
0077     3108     3108     1600fffa     00     00000     00000002     0     00000000     0     00000000
0078     310c     310c     0295a022     00     00000     00000002     1     00000001     0     00000000
0079     3110     3110     1680fff7     00     00000     00000002     0     00000000     0     00000000
007a     30f0     30f0     00168020     00     00000     00000002     1     00000001     0     00000000
007b     30f4     30f4     00108100     00     00000     00000002     1     00000010     0     00000000
007c     30f8     30f8     02149825     00     00000     00000002     1     00000011     0     00000000
007d     30fc     30fc     00132020     00     00000     00000002     1     00000011     0     00000000
007e     3100     3100     20020022     00     00000     00000002     1     00000022     0     00000000
007f     3104     3104     0000000c     00     00000     00000002     0     00000000     0     00000000
0080     3108     3108     1600fffa     00     00000     00000011     0     00000000     0     00000000
0081     30f4     30f4     00108100     00     00000     00000011     1     00000100     0     00000000
0082     30f8     30f8     02149825     00     00000     00000011     1     00000101     0     00000000
0083     30fc     30fc     00132020     00     00000     00000011     1     00000101     0     00000000
0084     3100     3100     20020022     00     00000     00000011     1     00000022     0     00000000
0085     3104     3104     0000000c     00     00000     00000011     0     00000000     0     00000000
0086     3108     3108     1600fffa     00     00000     00000101     0     00000000     0     00000000
0087     30f4     30f4     00108100     00     00000     00000101     1     00001000     0     00000000
0088     30f8     30f8     02149825     00     00000     00000101     1     00001001     0     00000000
0089     30fc     30fc     00132020     00     00000     00000101     1     00001001     0     00000000
008a     3100     3100     20020022     00     00000     00000101     1     00000022     0     00000000
008b     3104     3104     0000000c     00     00000     00000101     0     00000000     0     00000000
008c     3108     3108     1600fffa     00     00000     00001001     0     00000000     0     00000000
008d     30f4     30f4     00108100     00     00000     00001001     1     00010000     0     00000000
008e     30f8     30f8     02149825     00     00000     00001001     1     00010001     0     00000000
008f     30fc     30fc     00132020     00     00000     00001001     1     00010001     0     00000000
0090     3100     3100     20020022     00     00000     00001001     1     00000022     0     00000000
0091     3104     3104     0000000c     00     00000     00001001     0     00000000     0     00000000
0092     3108     3108     1600fffa     00     00000     00010001     0     00000000     0     00000000
0093     30f4     30f4     00108100     00     00000     00010001     1     00100000     0     00000000
0094     30f8     30f8     02149825     00     00000     00010001     1     00100001     0     00000000
