CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
0000     0000     0000     201d07d0     00     00000     00000000     1     000007d0     0     00000000
0001     0004     0004     20100001     00     00000     00000000     1     00000001     0     00000000
0002     0008     0008     00109fc0     00     00000     00000000     1     80000000     0     00000000
0003     30ac     30ac     afa20000     00     00000     00000000     0     00000000     1     00000000
0004     30b0     30b0     23bd0004     00     00000     00000000     1     000007d4     0     00000000
0005     30b4     30b4     afa40000     00     00000     00000000     0     00000000     1     00000000
0006     30b8     30b8     23bd0004     00     00000     00000000     1     000007d8     0     00000000
0007     30bc     30bc     afb00000     00     00000     00000000     0     00000000     1     00000001
0008     30c0     30c0     23bd0004     00     00000     00000000     1     000007dc     0     00000000
0009     30c4     30c4     afb30000     00     00000     00000000     0     00000000     1     80000000
000a     30c8     30c8     23bd0004     00     00000     00000000     1     000007e0     0     00000000
000b     30cc     30cc     afb40000     00     00000     00000000     0     00000000     1     00000000
000c     30d0     30d0     23bd0004     00     00000     00000000     1     000007e4     0     00000000
000d     30d4     30d4     afb50000     00     00000     00000000     0     00000000     1     00000000
000e     30d8     30d8     23bd0004     00     00000     00000000     1     000007e8     0     00000000
000f     30dc     30dc     afb60000     00     00000     00000000     0     00000000     1     00000000
0010     30e0     30e0     23bd0004     00     00000     00000000     1     000007ec     0     00000000
0011     30e4     30e4     40000000     00     00000     00000000     0     00000000     0     00000000
0012     30e8     30e8     20160001     00     00000     00000000     1     00000001     0     00000000
0013     3204     3204     afa20000     00     00000     00000000     0     00000000     1     00000000
0014     3208     3208     23bd0004     00     00000     00000000     1     000007f0     0     00000000
0015     320c     320c     afa40000     00     00000     00000000     0     00000000     1     00000000
0016     3210     3210     23bd0004     00     00000     00000000     1     000007f4     0     00000000
0017     3214     3214     afb00000     00     00000     00000000     0     00000000     1     00000001
0018     3218     3218     23bd0004     00     00000     00000000     1     000007f8     0     00000000
0019     321c     321c     afb30000     00     00000     00000000     0     00000000     1     80000000
001a     3220     3220     23bd0004     00     00000     00000000     1     000007fc     0     00000000
001b     3224     3224     afb40000     00     00000     00000000     0     00000000     1     00000000
001c     3228     3228     23bd0004     00     00000     00000000     1     00000800     0     00000000
001d     322c     322c     afb50000     00     00000     00000000     0     00000000     1     00000000
001e     3230     3230     23bd0004     00     00000     00000000     1     00000804     0     00000000
001f     3234     3234     afb60000     00     00000     00000000     0     00000000     1     00000001
0020     3238     3238     23bd0004     00     00000     00000000     1     00000808     0     00000000
0021     323c     323c     40000000     00     00000     00000000     0     00000000     0     00000000
0022     3240     3240     20160003     00     00000     00000000     1     00000003     0     00000000
0023     3244     3244     20140003     00     00000     00000000     1     00000003     0     00000000
0024     3248     3248     20150001     00     00000     00000000     1     00000001     0     00000000
0025     324c     324c     00168020     00     00000     00000000     1     00000003     0     00000000
0026     3250     3250     00108100     00     00000     00000000     1     00000030     0     00000000
0027     3254     3254     02149825     00     00000     00000000     1     00000033     0     00000000
0028     3258     3258     00132020     00     00000     00000000     1     00000033     0     00000000
0029     325c     325c     20020022     00     00000     00000000     1     00000022     0     00000000
002a     3260     3260     0000000c     00     00000     00000000     0     00000000     0     00000000
002b     3264     3264     1600fffa     00     00000     00000033     0     00000000     0     00000000
002c     3250     3250     00108100     00     00000     00000033     1     00000300     0     00000000
002d     3254     3254     02149825     00     00000     00000033     1     00000303     0     00000000
002e     3258     3258     00132020     00     00000     00000033     1     00000303     0     00000000
002f     325c     325c     20020022     00     00000     00000033     1     00000022     0     00000000
0030     3260     3260     0000000c     00     00000     00000033     0     00000000     0     00000000
0031     3264     3264     1600fffa     00     00000     00000303     0     00000000     0     00000000
0032     3250     3250     00108100     00     00000     00000303     1     00003000     0     00000000
0033     3254     3254     02149825     00     00000     00000303     1     00003003     0     00000000
0034     3258     3258     00132020     00     00000     00000303     1     00003003     0     00000000
0035     325c     325c     20020022     00     00000     00000303     1     00000022     0     00000000
0036     3260     3260     0000000c     00     00000     00000303     0     00000000     0     00000000
0037     3264     3264     1600fffa     00     00000     00003003     0     00000000     0     00000000
0038     3250     3250     00108100     00     00000     00003003     1     00030000     0     00000000
0039     3254     3254     02149825     00     00000     00003003     1     00030003     0     00000000
003a     3258     3258     00132020     00     00000     00003003     1     00030003     0     00000000
003b     325c     325c     20020022     00     00000     00003003     1     00000022     0     00000000
003c     3260     3260     0000000c     00     00000     00003003     0     00000000     0     00000000
003d     3264     3264     1600fffa     00     00000     00030003     0     00000000     0     00000000
003e     3250     3250     00108100     00     00000     00030003     1     00300000     0     00000000
003f     3254     3254     02149825     00     00000     00030003     1     00300003     0     00000000
0040     3258     3258     00132020     00     00000     00030003     1     00300003     0     00000000
0041     325c     325c     20020022     00     00000     00030003     1     00000022     0     00000000
0042     3260     3260     0000000c     00     00000     00030003     0     00000000     0     00000000
0043     3264     3264     1600fffa     00     00000     00300003     0     00000000     0     00000000
0044     3250     3250     00108100     00     00000     00300003     1     03000000     0     00000000
0045     3254     3254     02149825     00     00000     00300003     1     03000003     0     00000000
0046     3258     3258     00132020     00     00000     00300003     1     03000003     0     00000000
0047     325c     325c     20020022     00     00000     00300003     1     00000022     0     00000000
0048     3260     3260     0000000c     00     00000     00300003     0     00000000     0     00000000
0049     3264     3264     1600fffa     00     00000     03000003     0     00000000     0     00000000
004a     3250     3250     00108100     00     00000     03000003     1     30000000     0     00000000
004b     3254     3254     02149825     00     00000     03000003     1     30000003     0     00000000
004c     3258     3258     00132020     00     00000     03000003     1     30000003     0     00000000
004d     325c     325c     20020022     00     00000     03000003     1     00000022     0     00000000
004e     3260     3260     0000000c     00     00000     03000003     0     00000000     0     00000000
004f     3264     3264     1600fffa     00     00000     30000003     0     00000000     0     00000000
0050     3250     3250     00108100     00     00000     30000003     1     00000000     0     00000000
0051     3254     3254     02149825     00     00000     30000003     1     00000003     0     00000000
0052     3258     3258     00132020     00     00000     30000003     1     00000003     0     00000000
0053     325c     325c     20020022     00     00000     30000003     1     00000022     0     00000000
0054     3260     3260     0000000c     00     00000     30000003     0     00000000     0     00000000
0055     3264     3264     1600fffa     00     00000     00000003     0     00000000     0     00000000
0056     3268     3268     0295a022     00     00000     00000003     1     00000002     0     00000000
0057     326c     326c     1680fff7     00     00000     00000003     0     00000000     0     00000000
0058     324c     324c     00168020     00     00000     00000003     1     00000003     0     00000000
0059     3250     3250     00108100     00     00000     00000003     1     00000030     0     00000000
005a     3254     3254     02149825     00     00000     00000003     1     00000032     0     00000000
005b     3258     3258     00132020     00     00000     00000003     1     00000032     0     00000000
005c     325c     325c     20020022     00     00000     00000003     1     00000022     0     00000000
005d     3260     3260     0000000c     00     00000     00000003     0     00000000     0     00000000
005e     3264     3264     1600fffa     00     00000     00000032     0     00000000     0     00000000
005f     3250     3250     00108100     00     00000     00000032     1     00000300     0     00000000
0060     3254     3254     02149825     00     00000     00000032     1     00000302     0     00000000
0061     3258     3258     00132020     00     00000     00000032     1     00000302     0     00000000
0062     325c     325c     20020022     00     00000     00000032     1     00000022     0     00000000
0063     3260     3260     0000000c     00     00000     00000032     0     00000000     0     00000000
0064     3264     3264     1600fffa     00     00000     00000302     0     00000000     0     00000000
0065     3250     3250     00108100     00     00000     00000302     1     00003000     0     00000000
0066     3254     3254     02149825     00     00000     00000302     1     00003002     0     00000000
0067     3258     3258     00132020     00     00000     00000302     1     00003002     0     00000000
0068     325c     325c     20020022     00     00000     00000302     1     00000022     0     00000000
0069     3260     3260     0000000c     00     00000     00000302     0     00000000     0     00000000
006a     3264     3264     1600fffa     00     00000     00003002     0     00000000     0     00000000
006b     3250     3250     00108100     00     00000     00003002     1     00030000     0     00000000
006c     3254     3254     02149825     00     00000     00003002     1     00030002     0     00000000
006d     3258     3258     00132020     00     00000     00003002     1     00030002     0     00000000
006e     325c     325c     20020022     00     00000     00003002     1     00000022     0     00000000
006f     3260     3260     0000000c     00     00000     00003002     0     00000000     0     00000000
0070     3264     3264     1600fffa     00     00000     00030002     0     00000000     0     00000000
0071     3250     3250     00108100     00     00000     00030002     1     00300000     0     00000000
0072     3254     3254     02149825     00     00000     00030002     1     00300002     0     00000000
0073     3258     3258     00132020     00     00000     00030002     1     00300002     0     00000000
0074     325c     325c     20020022     00     00000     00030002     1     00000022     0     00000000
0075     3260     3260     0000000c     00     00000     00030002     0     00000000     0     00000000
0076     3264     3264     1600fffa     00     00000     00300002     0     00000000     0     00000000
0077     3250     3250     00108100     00     00000     00300002     1     03000000     0     00000000
0078     3254     3254     02149825     00     00000     00300002     1     03000002     0     00000000
0079     3258     3258     00132020     00     00000     00300002     1     03000002     0     00000000
007a     325c     325c     20020022     00     00000     00300002     1     00000022     0     00000000
007b     3260     3260     0000000c     00     00000     00300002     0     00000000     0     00000000
007c     3264     3264     1600fffa     00     00000     03000002     0     00000000     0     00000000
007d     3250     3250     00108100     00     00000     03000002     1     30000000     0     00000000
007e     3254     3254     02149825     00     00000     03000002     1     30000002     0     00000000
007f     3258     3258     00132020     00     00000     03000002     1     30000002     0     00000000
0080     325c     325c     20020022     00     00000     03000002     1     00000022     0     00000000
0081     3260     3260     0000000c     00     00000     03000002     0     00000000     0     00000000
0082     3264     3264     1600fffa     00     00000     30000002     0     00000000     0     00000000
0083     3250     3250     00108100     00     00000     30000002     1     00000000     0     00000000
0084     3254     3254     02149825     00     00000     30000002     1     00000002     0     00000000
0085     3258     3258     00132020     00     00000     30000002     1     00000002     0     00000000
0086     325c     325c     20020022     00     00000     30000002     1     00000022     0     00000000
0087     3260     3260     0000000c     00     00000     30000002     0     00000000     0     00000000
0088     3264     3264     1600fffa     00     00000     00000002     0     00000000     0     00000000
0089     3268     3268     0295a022     00     00000     00000002     1     00000001     0     00000000
008a     326c     326c     1680fff7     00     00000     00000002     0     00000000     0     00000000
008b     324c     324c     00168020     00     00000     00000002     1     00000003     0     00000000
008c     3250     3250     00108100     00     00000     00000002     1     00000030     0     00000000
008d     3254     3254     02149825     00     00000     00000002     1     00000031     0     00000000
008e     3258     3258     00132020     00     00000     00000002     1     00000031     0     00000000
008f     325c     325c     20020022     00     00000     00000002     1     00000022     0     00000000
0090     3260     3260     0000000c     00     00000     00000002     0     00000000     0     00000000
0091     3264     3264     1600fffa     00     00000     00000031     0     00000000     0     00000000
0092     3250     3250     00108100     00     00000     00000031     1     00000300     0     00000000
0093     3254     3254     02149825     00     00000     00000031     1     00000301     0     00000000
0094     3258     3258     00132020     00     00000     00000031     1     00000301     0     00000000
0095     325c     325c     20020022     00     00000     00000031     1     00000022     0     00000000
0096     3260     3260     0000000c     00     00000     00000031     0     00000000     0     00000000
0097     3264     3264     1600fffa     00     00000     00000301     0     00000000     0     00000000
0098     3250     3250     00108100     00     00000     00000301     1     00003000     0     00000000
