
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
0000     0000     0000     201d07d0     00     00000     00000000     1     000007d0     0     00000000
0001     0004     0004     20100001     00     00000     00000000     1     00000001     0     00000000
0002     0008     0008     00109fc0     00     00000     00000000     1     80000000     0     00000000
0003     30ac     30ac     afa20000     00     00000     00000000     0     00000000     1     00000000
0004     30b0     30b0     23bd0004     00     00000     00000000     1     000007d4     0     00000000
0005     30b4     30b4     afa40000     00     00000     00000000     0     00000000     1     00000000
0006     30b8     30b8     23bd0004     00     00000     00000000     1     000007d8     0     00000000
0007     30bc     30bc     afb00000     00     00000     00000000     0     00000000     1     00000001
0008     30c0     30c0     23bd0004     00     00000     00000000     1     000007dc     0     00000000
0009     30c4     30c4     afb30000     00     00000     00000000     0     00000000     1     80000000
000a     30c8     30c8     23bd0004     00     00000     00000000     1     000007e0     0     00000000
000b     30cc     30cc     afb40000     00     00000     00000000     0     00000000     1     00000000
000c     30d0     30d0     23bd0004     00     00000     00000000     1     000007e4     0     00000000
000d     30d4     30d4     afb50000     00     00000     00000000     0     00000000     1     00000000
000e     30d8     30d8     23bd0004     00     00000     00000000     1     000007e8     0     00000000
000f     30dc     30dc     afb60000     00     00000     00000000     0     00000000     1     00000000
0010     30e0     30e0     23bd0004     00     00000     00000000     1     000007ec     0     00000000
0011     30e4     30e4     40167000     00     00000     00000000     1     0000000c     0     00000000
0012     30e8     30e8     afb60000     00     00000     00000000     0     00000000     1     0000000c
0013     30ec     30ec     23bd0004     00     00000     00000000     1     000007f0     0     00000000
0014     30f0     30f0     40806000     00     00000     00000000     0     00000000     0     00000000
0015     30f4     30f4     20160001     00     00000     00000000     1     00000001     0     00000000
0016     323c     323c     afa20000     00     00000     00000000     0     00000000     1     00000000
0017     3240     3240     23bd0004     00     00000     00000000     1     000007f4     0     00000000
0018     3244     3244     afa40000     00     00000     00000000     0     00000000     1     00000000
0019     3248     3248     23bd0004     00     00000     00000000     1     000007f8     0     00000000
001a     324c     324c     afb00000     00     00000     00000000     0     00000000     1     00000001
001b     3250     3250     23bd0004     00     00000     00000000     1     000007fc     0     00000000
001c     3254     3254     afb30000     00     00000     00000000     0     00000000     1     80000000
001d     3258     3258     23bd0004     00     00000     00000000     1     00000800     0     00000000
001e     325c     325c     afb40000     00     00000     00000000     0     00000000     1     00000000
001f     3260     3260     23bd0004     00     00000     00000000     1     00000804     0     00000000
0020     3264     3264     afb50000     00     00000     00000000     0     00000000     1     00000000
0021     3268     3268     23bd0004     00     00000     00000000     1     00000808     0     00000000
0022     326c     326c     afb60000     00     00000     00000000     0     00000000     1     00000001
0023     3270     3270     23bd0004     00     00000     00000000     1     0000080c     0     00000000
0024     3274     3274     40167000     00     00000     00000000     1     000030f8     0     00000000
0025     3278     3278     afb60000     00     00000     00000000     0     00000000     1     000030f8
0026     327c     327c     23bd0004     00     00000     00000000     1     00000810     0     00000000
0027     3280     3280     40806000     00     00000     00000000     0     00000000     0     00000000
0028     3284     3284     20160003     00     00000     00000000     1     00000003     0     00000000
0029     3288     3288     20140003     00     00000     00000000     1     00000003     0     00000000
002a     328c     328c     20150001     00     00000     00000000     1     00000001     0     00000000
002b     3290     3290     00168020     00     00000     00000000     1     00000003     0     00000000
002c     3294     3294     00108100     00     00000     00000000     1     00000030     0     00000000
002d     3298     3298     02149825     00     00000     00000000     1     00000033     0     00000000
002e     329c     329c     00132020     00     00000     00000000     1     00000033     0     00000000
002f     32a0     32a0     20020022     00     00000     00000000     1     00000022     0     00000000
0030     32a4     32a4     0000000c     00     00000     00000000     0     00000000     0     00000000
0031     32a8     32a8     1600fffa     00     00000     00000033     0     00000000     0     00000000
0032     3294     3294     00108100     00     00000     00000033     1     00000300     0     00000000
0033     3298     3298     02149825     00     00000     00000033     1     00000303     0     00000000
0034     329c     329c     00132020     00     00000     00000033     1     00000303     0     00000000
0035     32a0     32a0     20020022     00     00000     00000033     1     00000022     0     00000000
0036     32a4     32a4     0000000c     00     00000     00000033     0     00000000     0     00000000
0037     32a8     32a8     1600fffa     00     00000     00000303     0     00000000     0     00000000
0038     3294     3294     00108100     00     00000     00000303     1     00003000     0     00000000
0039     3298     3298     02149825     00     00000     00000303     1     00003003     0     00000000
003a     329c     329c     00132020     00     00000     00000303     1     00003003     0     00000000
003b     32a0     32a0     20020022     00     00000     00000303     1     00000022     0     00000000
003c     32a4     32a4     0000000c     00     00000     00000303     0     00000000     0     00000000
003d     32a8     32a8     1600fffa     00     00000     00003003     0     00000000     0     00000000
003e     3294     3294     00108100     00     00000     00003003     1     00030000     0     00000000
003f     3298     3298     02149825     00     00000     00003003     1     00030003     0     00000000
0040     329c     329c     00132020     00     00000     00003003     1     00030003     0     00000000
0041     32a0     32a0     20020022     00     00000     00003003     1     00000022     0     00000000
0042     32a4     32a4     0000000c     00     00000     00003003     0     00000000     0     00000000
0043     32a8     32a8     1600fffa     00     00000     00030003     0     00000000     0     00000000
0044     3294     3294     00108100     00     00000     00030003     1     00300000     0     00000000
0045     3298     3298     02149825     00     00000     00030003     1     00300003     0     00000000
0046     329c     329c     00132020     00     00000     00030003     1     00300003     0     00000000
0047     32a0     32a0     20020022     00     00000     00030003     1     00000022     0     00000000
0048     32a4     32a4     0000000c     00     00000     00030003     0     00000000     0     00000000
0049     32a8     32a8     1600fffa     00     00000     00300003     0     00000000     0     00000000
004a     3294     3294     00108100     00     00000     00300003     1     03000000     0     00000000
004b     3298     3298     02149825     00     00000     00300003     1     03000003     0     00000000
004c     329c     329c     00132020     00     00000     00300003     1     03000003     0     00000000
004d     32a0     32a0     20020022     00     00000     00300003     1     00000022     0     00000000
004e     32a4     32a4     0000000c     00     00000     00300003     0     00000000     0     00000000
004f     32a8     32a8     1600fffa     00     00000     03000003     0     00000000     0     00000000
0050     3294     3294     00108100     00     00000     03000003     1     30000000     0     00000000
0051     3298     3298     02149825     00     00000     03000003     1     30000003     0     00000000
0052     329c     329c     00132020     00     00000     03000003     1     30000003     0     00000000
0053     32a0     32a0     20020022     00     00000     03000003     1     00000022     0     00000000
0054     32a4     32a4     0000000c     00     00000     03000003     0     00000000     0     00000000
0055     32a8     32a8     1600fffa     00     00000     30000003     0     00000000     0     00000000
0056     3294     3294     00108100     00     00000     30000003     1     00000000     0     00000000
0057     3298     3298     02149825     00     00000     30000003     1     00000003     0     00000000
0058     329c     329c     00132020     00     00000     30000003     1     00000003     0     00000000
0059     32a0     32a0     20020022     00     00000     30000003     1     00000022     0     00000000
005a     32a4     32a4     0000000c     00     00000     30000003     0     00000000     0     00000000
005b     32a8     32a8     1600fffa     00     00000     00000003     0     00000000     0     00000000
005c     32ac     32ac     0295a022     00     00000     00000003     1     00000002     0     00000000
005d     32b0     32b0     1680fff7     00     00000     00000003     0     00000000     0     00000000
005e     3290     3290     00168020     00     00000     00000003     1     00000003     0     00000000
005f     3294     3294     00108100     00     00000     00000003     1     00000030     0     00000000
0060     3298     3298     02149825     00     00000     00000003     1     00000032     0     00000000
0061     329c     329c     00132020     00     00000     00000003     1     00000032     0     00000000
0062     32a0     32a0     20020022     00     00000     00000003     1     00000022     0     00000000
0063     32a4     32a4     0000000c     00     00000     00000003     0     00000000     0     00000000
0064     32a8     32a8     1600fffa     00     00000     00000032     0     00000000     0     00000000
0065     3294     3294     00108100     00     00000     00000032     1     00000300     0     00000000
0066     3298     3298     02149825     00     00000     00000032     1     00000302     0     00000000
0067     329c     329c     00132020     00     00000     00000032     1     00000302     0     00000000
0068     32a0     32a0     20020022     00     00000     00000032     1     00000022     0     00000000
0069     32a4     32a4     0000000c     00     00000     00000032     0     00000000     0     00000000
006a     32a8     32a8     1600fffa     00     00000     00000302     0     00000000     0     00000000
006b     3294     3294     00108100     00     00000     00000302     1     00003000     0     00000000
006c     3298     3298     02149825     00     00000     00000302     1     00003002     0     00000000
006d     329c     329c     00132020     00     00000     00000302     1     00003002     0     00000000
006e     32a0     32a0     20020022     00     00000     00000302     1     00000022     0     00000000
006f     32a4     32a4     0000000c     00     00000     00000302     0     00000000     0     00000000
0070     32a8     32a8     1600fffa     00     00000     00003002     0     00000000     0     00000000
0071     3294     3294     00108100     00     00000     00003002     1     00030000     0     00000000
0072     3298     3298     02149825     00     00000     00003002     1     00030002     0     00000000
0073     329c     329c     00132020     00     00000     00003002     1     00030002     0     00000000
0074     32a0     32a0     20020022     00     00000     00003002     1     00000022     0     00000000
0075     32a4     32a4     0000000c     00     00000     00003002     0     00000000     0     00000000
0076     32a8     32a8     1600fffa     00     00000     00030002     0     00000000     0     00000000
0077     3294     3294     00108100     00     00000     00030002     1     00300000     0     00000000
0078     3298     3298     02149825     00     00000     00030002     1     00300002     0     00000000
0079     329c     329c     00132020     00     00000     00030002     1     00300002     0     00000000
007a     32a0     32a0     20020022     00     00000     00030002     1     00000022     0     00000000
007b     32a4     32a4     0000000c     00     00000     00030002     0     00000000     0     00000000
007c     32a8     32a8     1600fffa     00     00000     00300002     0     00000000     0     00000000
007d     3294     3294     00108100     00     00000     00300002     1     03000000     0     00000000
007e     3298     3298     02149825     00     00000     00300002     1     03000002     0     00000000
007f     329c     329c     00132020     00     00000     00300002     1     03000002     0     00000000
0080     32a0     32a0     20020022     00     00000     00300002     1     00000022     0     00000000
0081     32a4     32a4     0000000c     00     00000     00300002     0     00000000     0     00000000
0082     32a8     32a8     1600fffa     00     00000     03000002     0     00000000     0     00000000
0083     3294     3294     00108100     00     00000     03000002     1     30000000     0     00000000
0084     3298     3298     02149825     00     00000     03000002     1     30000002     0     00000000
0085     329c     329c     00132020     00     00000     03000002     1     30000002     0     00000000
0086     32a0     32a0     20020022     00     00000     03000002     1     00000022     0     00000000
0087     32a4     32a4     0000000c     00     00000     03000002     0     00000000     0     00000000
0088     32a8     32a8     1600fffa     00     00000     30000002     0     00000000     0     00000000
0089     3294     3294     00108100     00     00000     30000002     1     00000000     0     00000000
008a     3298     3298     02149825     00     00000     30000002     1     00000002     0     00000000
008b     329c     329c     00132020     00     00000     30000002     1     00000002     0     00000000
008c     32a0     32a0     20020022     00     00000     30000002     1     00000022     0     00000000
008d     32a4     32a4     0000000c     00     00000     30000002     0     00000000     0     00000000
008e     32a8     32a8     1600fffa     00     00000     00000002     0     00000000     0     00000000
008f     32ac     32ac     0295a022     00     00000     00000002     1     00000001     0     00000000
0090     32b0     32b0     1680fff7     00     00000     00000002     0     00000000     0     00000000
0091     3290     3290     00168020     00     00000     00000002     1     00000003     0     00000000
0092     3294     3294     00108100     00     00000     00000002     1     00000030     0     00000000
0093     3298     3298     02149825     00     00000     00000002     1     00000031     0     00000000
0094     329c     329c     00132020     00     00000     00000002     1     00000031     0     00000000
